Episode,Word,Score
Ep1,formation,0.006586349616513622
Ep1,step,0.006586349616513622
Ep1,worked,0.006586349616513622
Ep1,wrong,0.006586349616513622
Ep1,god,0.006586349616513622
Ep1,hilarious,0.006586349616513622
Ep1,quick,0.006586349616513622
Ep1,reader,0.007099817378460574
Ep1,omg,0.007099817378460574
Ep1,bother,0.007099817378460574
Ep1,running,0.007099817378460574
Ep1,true,0.007099817378460574
Ep1,certainly,0.007099817378460574
Ep1,beautiful,0.007099817378460574
Ep1,anyways,0.007099817378460574
Ep1,nowhere,0.007099817378460574
Ep1,aka,0.007099817378460574
Ep1,needed,0.007099817378460574
Ep1,transition,0.007099817378460574
Ep1,terrible,0.007099817378460574
Ep1,opponent,0.007099817378460574
Ep1,regardless,0.007099817378460574
Ep1,job,0.007099817378460574
Ep1,king,0.007099817378460574
Ep1,ost,0.007099817378460574
Ep1,save,0.007099817378460574
Ep1,outside,0.007099817378460574
Ep1,picture,0.007099817378460574
Ep1,doubt,0.007099817378460574
Ep1,suck,0.007099817378460574
Ep1,showed,0.007099817378460574
Ep1,screen,0.007099817378460574
Ep1,properly,0.007099817378460574
Ep1,wanting,0.007099817378460574
Ep1,goo,0.007681939115589171
Ep1,special,0.007681939115589171
Ep1,sometimes,0.007681939115589171
Ep1,fight,0.007681939115589171
Ep1,introduced,0.007681939115589171
Ep1,fit,0.007681939115589171
Ep1,lead,0.007681939115589171
Ep1,beast,0.007681939115589171
Ep1,elite,0.007681939115589171
Ep1,dribble,0.007681939115589171
Ep1,stupid,0.007681939115589171
Ep1,kid,0.007681939115589171
Ep1,gay,0.007681939115589171
Ep1,impact,0.007681939115589171
Ep1,aspect,0.007681939115589171
Ep1,impressed,0.007681939115589171
Ep1,friend,0.007681939115589171
Ep1,check,0.007681939115589171
Ep1,monster,0.007681939115589171
Ep1,beat,0.007681939115589171
Ep1,consistent,0.007681939115589171
Ep1,ultimate,0.007681939115589171
Ep1,buildup,0.007681939115589171
Ep1,three,0.007681939115589171
Ep1,audience,0.008353949342973847
Ep1,achieve,0.008353949342973847
Ep1,added,0.008353949342973847
Ep1,background,0.008353949342973847
Ep1,pick,0.008353949342973847
Ep1,spent,0.008353949342973847
Ep1,stick,0.008353949342973847
Ep1,free,0.008353949342973847
Ep1,profile,0.008353949342973847
Ep1,shut,0.008353949342973847
Ep1,barous,0.008353949342973847
Ep1,keeping,0.008353949342973847
Ep1,finish,0.008353949342973847
Ep1,presentation,0.008353949342973847
Ep1,banger,0.008353949342973847
Ep1,building,0.008353949342973847
Ep1,meme,0.008353949342973847
Ep1,respect,0.008353949342973847
Ep1,bluelock,0.008353949342973847
Ep1,cold,0.008353949342973847
Ep1,normal,0.008353949342973847
Ep1,far,0.008718874650928968
Ep1,badge,0.008718874650928968
Ep1,goal,0.008718874650928968
Ep1,salvation,0.008718874650928968
Ep1,play,0.008718874650928968
Ep1,soccer,0.008718874650928968
Ep1,ranked,0.008718874650928968
Ep1,topic,0.008718874650928968
Ep1,malbadges,0.008718874650928968
Ep1,brought,0.008718874650928968
Ep1,mistake,0.008718874650928968
Ep1,man,0.008718874650928968
Ep1,rival,0.009148768742898206
Ep1,niko,0.009148768742898206
Ep1,red,0.009148768742898206
Ep1,fr,0.009148768742898206
Ep1,cinema,0.009148768742898206
Ep1,meanwhile,0.009148768742898206
Ep1,usually,0.009148768742898206
Ep1,number,0.009148768742898206
Ep1,except,0.009148768742898206
Ep1,izanasolos,0.009148768742898206
